SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
040,19,000,00000,00000,00000,0,A,Iowa,Iowa,3046355,3046869,3050694,3065389,3076636,3092224,3109481,3123899
162,19,000,00190,00000,00000,0,A,Ackley city,Iowa,1589,1589,1590,1576,1576,1566,1562,1560
162,19,000,00235,00000,00000,0,A,Ackworth city,Iowa,83,83,83,83,83,83,83,86
162,19,000,00370,00000,00000,0,A,Adair city,Iowa,781,781,779,770,758,751,747,728
162,19,000,00505,00000,00000,0,A,Adel city,Iowa,3682,3711,3730,3841,3935,4054,4181,4245
162,19,000,00595,00000,00000,0,A,Afton city,Iowa,845,845,843,848,850,849,843,829
162,19,000,00640,00000,00000,0,A,Agency city,Iowa,638,638,639,636,634,637,637,641
162,19,000,00730,00000,00000,0,A,Ainsworth city,Iowa,567,567,567,567,570,570,568,571
162,19,000,00775,00000,00000,0,A,Akron city,Iowa,1486,1486,1485,1473,1468,1465,1459,1450
162,19,000,00865,00000,00000,0,A,Albert City city,Iowa,699,699,701,697,703,708,696,688
162,19,000,00910,00000,00000,0,A,Albia city,Iowa,3766,3766,3775,3810,3816,3777,3764,3829
162,19,000,00955,00000,00000,0,A,Albion city,Iowa,505,505,506,511,509,471,470,476
162,19,000,01000,00000,00000,0,A,Alburnett city,Iowa,673,673,673,676,681,682,690,695
162,19,000,01045,00000,00000,0,A,Alden city,Iowa,787,787,788,782,779,771,765,764
162,19,000,01090,00000,00000,0,A,Alexander city,Iowa,175,175,175,176,173,173,172,170
162,19,000,01135,00000,00000,0,A,Algona city,Iowa,5560,5560,5554,5515,5513,5493,5487,5470
162,19,000,01180,00000,00000,0,A,Alleman city,Iowa,432,432,433,434,439,443,439,443
162,19,000,01270,00000,00000,0,A,Allerton city,Iowa,501,501,501,497,496,500,496,495
162,19,000,01315,00000,00000,0,A,Allison city,Iowa,1029,1029,1030,1027,1026,1034,1033,1029
162,19,000,01495,00000,00000,0,A,Alta city,Iowa,1883,1905,1912,1920,1960,1964,1953,1936
162,19,000,01540,00000,00000,0,A,Alta Vista city,Iowa,266,266,266,266,263,263,263,261
162,19,000,01585,00000,00000,0,A,Alton city,Iowa,1216,1216,1216,1221,1238,1245,1258,1264
162,19,000,01630,00000,00000,0,A,Altoona city,Iowa,14541,14541,14617,14811,15426,15646,16150,16984
162,19,000,01675,00000,00000,0,A,Alvord city,Iowa,196,196,196,198,197,194,193,193
162,19,000,01855,00000,00000,0,A,Ames city,Iowa,58965,59006,59056,60307,61325,62876,64513,65060
162,19,000,01990,00000,00000,0,A,Anamosa city,Iowa,5533,5537,5548,5640,5547,5431,5473,5469
162,19,000,02080,00000,00000,0,A,Andover city,Iowa,103,103,103,103,102,101,100,100
162,19,000,02125,00000,00000,0,A,Andrew city,Iowa,434,434,434,432,430,426,424,422
162,19,000,02260,00000,00000,0,A,Anita city,Iowa,972,980,979,964,957,960,957,956
162,19,000,02305,00000,00000,0,A,Ankeny city,Iowa,45582,45582,45884,47113,48950,51378,53299,56764
162,19,000,02350,00000,00000,0,A,Anthon city,Iowa,565,565,566,570,567,566,566,569
162,19,000,02395,00000,00000,0,A,Aplington city,Iowa,1128,1128,1129,1124,1121,1122,1087,1079
162,19,000,02485,00000,00000,0,A,Arcadia city,Iowa,484,484,484,484,477,472,471,471
162,19,000,02530,00000,00000,0,A,Archer city,Iowa,131,131,131,129,129,128,128,127
162,19,000,02620,00000,00000,0,A,Aredale city,Iowa,74,74,74,74,74,74,74,74
162,19,000,02755,00000,00000,0,A,Arion city,Iowa,108,108,109,109,109,110,108,107
162,19,000,02800,00000,00000,0,A,Arispe city,Iowa,100,100,100,100,101,101,100,99
162,19,000,02845,00000,00000,0,A,Arlington city,Iowa,429,429,429,431,426,420,415,410
162,19,000,02935,00000,00000,0,A,Armstrong city,Iowa,926,926,924,920,914,903,901,889
162,19,000,03025,00000,00000,0,A,Arnolds Park city,Iowa,1126,1126,1134,1160,1181,1187,1207,1234
162,19,000,03115,00000,00000,0,A,Arthur city,Iowa,206,206,205,206,206,207,204,204
162,19,000,03160,00000,00000,0,A,Asbury city,Iowa,4170,4395,4484,4674,4874,5036,5179,5291
162,19,000,03295,00000,00000,0,A,Ashton city,Iowa,458,458,457,446,436,436,435,430
162,19,000,03340,00000,00000,0,A,Aspinwall city,Iowa,40,40,40,40,40,41,40,40
162,19,000,03385,00000,00000,0,A,Atalissa city,Iowa,311,311,311,309,307,305,304,306
162,19,000,03475,00000,00000,0,A,Atkins city,Iowa,1670,1670,1674,1692,1698,1724,1753,1795
162,19,000,03520,00000,00000,0,A,Atlantic city,Iowa,7112,7112,7100,7030,7005,6925,6837,6833
162,19,000,03610,00000,00000,0,A,Auburn city,Iowa,322,322,322,319,317,314,314,314
162,19,000,03655,00000,00000,0,A,Audubon city,Iowa,2176,2176,2167,2130,2077,2070,2024,2017
162,19,000,03745,00000,00000,0,A,Aurelia city,Iowa,1036,1036,1039,1041,1030,1023,1011,992
162,19,000,03835,00000,00000,0,A,Aurora city,Iowa,185,185,185,184,171,170,171,171
162,19,000,03970,00000,00000,0,A,Avoca city,Iowa,1506,1508,1511,1516,1507,1505,1506,1504
162,19,000,04105,00000,00000,0,A,Ayrshire city,Iowa,143,143,142,143,141,140,139,140
162,19,000,04195,00000,00000,0,A,Badger city,Iowa,561,561,559,559,553,553,549,550
162,19,000,04240,00000,00000,0,A,Bagley city,Iowa,303,303,303,301,298,296,297,296
162,19,000,04330,00000,00000,0,A,Baldwin city,Iowa,109,109,109,108,108,107,106,106
162,19,000,04375,00000,00000,0,A,Balltown city,Iowa,68,65,65,65,65,65,65,65
162,19,000,04420,00000,00000,0,A,Bancroft city,Iowa,732,734,733,727,725,720,715,710
162,19,000,04510,00000,00000,0,A,Bankston city,Iowa,25,25,25,25,25,25,25,25
162,19,000,04555,00000,00000,0,A,Barnes City city,Iowa,176,176,176,177,176,176,176,174
162,19,000,04645,00000,00000,0,A,Barnum city,Iowa,191,191,190,192,190,191,190,190
162,19,000,04780,00000,00000,0,A,Bassett city,Iowa,66,66,66,66,65,65,65,65
162,19,000,04825,00000,00000,0,A,Batavia city,Iowa,499,499,498,504,507,512,515,516
162,19,000,04870,00000,00000,0,A,Battle Creek city,Iowa,713,713,711,714,710,712,698,695
162,19,000,04915,00000,00000,0,A,Baxter city,Iowa,1101,1101,1100,1098,1094,1095,1101,1103
162,19,000,04960,00000,00000,0,A,Bayard city,Iowa,471,471,471,468,464,460,460,456
162,19,000,05050,00000,00000,0,A,Beacon city,Iowa,494,494,495,495,491,489,486,480
162,19,000,05095,00000,00000,0,A,Beaconsfield city,Iowa,15,15,15,15,15,15,15,15
162,19,000,05140,00000,00000,0,A,Beaman city,Iowa,191,191,191,194,193,191,191,192
162,19,000,05185,00000,00000,0,A,Beaver city,Iowa,48,48,48,48,48,48,48,48
162,19,000,05365,00000,00000,0,A,Bedford city,Iowa,1440,1440,1439,1431,1425,1417,1407,1415
162,19,000,05590,00000,00000,0,A,Belle Plaine city,Iowa,2534,2534,2530,2534,2515,2486,2476,2475
162,19,000,05635,00000,00000,0,A,Bellevue city,Iowa,2191,2193,2189,2171,2177,2166,2164,2176
162,19,000,05680,00000,00000,0,A,Belmond city,Iowa,2376,2376,2371,2352,2356,2342,2330,2314
162,19,000,05770,00000,00000,0,A,Bennett city,Iowa,405,403,403,401,400,398,398,394
162,19,000,05905,00000,00000,0,A,Benton city,Iowa,41,43,43,43,42,42,42,43
162,19,000,06040,00000,00000,0,A,Berkley city,Iowa,32,32,32,32,32,32,32,32
162,19,000,06085,00000,00000,0,A,Bernard city,Iowa,112,110,110,110,110,109,109,109
162,19,000,06175,00000,00000,0,A,Bertram city,Iowa,294,294,296,297,298,298,299,300
162,19,000,06355,00000,00000,0,A,Bettendorf city,Iowa,33217,33213,33382,33774,34230,34723,35141,35505
162,19,000,06490,00000,00000,0,A,Bevington city,Iowa,63,63,63,63,62,61,62,62
162,19,000,06625,00000,00000,0,A,Birmingham city,Iowa,448,448,447,444,441,439,439,433
162,19,000,06760,00000,00000,0,A,Blairsburg city,Iowa,215,215,217,215,213,214,211,212
162,19,000,06805,00000,00000,0,A,Blairstown city,Iowa,692,692,692,692,682,677,673,670
162,19,000,06850,00000,00000,0,A,Blakesburg city,Iowa,296,296,296,293,292,290,288,286
162,19,000,06895,00000,00000,0,A,Blanchard city,Iowa,38,38,38,38,37,37,37,37
162,19,000,06940,00000,00000,0,A,Blencoe city,Iowa,224,224,224,224,220,219,217,217
162,19,000,06985,00000,00000,0,A,Blockton city,Iowa,192,192,192,191,191,190,189,191
162,19,000,07030,00000,00000,0,A,Bloomfield city,Iowa,2640,2639,2645,2627,2611,2621,2609,2617
162,19,000,07075,00000,00000,0,A,Blue Grass city,Iowa,1452,1452,1457,1493,1557,1589,1624,1676
162,19,000,07210,00000,00000,0,A,Bode city,Iowa,302,302,301,301,300,298,296,293
162,19,000,07345,00000,00000,0,A,Bonaparte city,Iowa,433,433,433,429,426,424,424,419
162,19,000,07390,00000,00000,0,A,Bondurant city,Iowa,3860,3860,3914,4087,4229,4613,4817,4996
162,19,000,07480,00000,00000,0,A,Boone city,Iowa,12661,12661,12642,12653,12581,12620,12613,12692
162,19,000,07660,00000,00000,0,A,Bouton city,Iowa,129,127,128,132,133,135,135,134
162,19,000,07750,00000,00000,0,A,Boxholm city,Iowa,195,195,195,195,194,195,195,197
162,19,000,07840,00000,00000,0,A,Boyden city,Iowa,707,707,707,713,714,714,710,708
162,19,000,07930,00000,00000,0,A,Braddyville city,Iowa,159,159,159,159,156,156,155,155
162,19,000,08065,00000,00000,0,A,Bradgate city,Iowa,86,86,86,86,85,85,84,84
162,19,000,08155,00000,00000,0,A,Brandon city,Iowa,309,309,309,308,309,309,308,307
162,19,000,08200,00000,00000,0,A,Brayton city,Iowa,128,128,128,124,122,122,120,119
162,19,000,08290,00000,00000,0,A,Breda city,Iowa,483,483,483,481,479,476,477,475
162,19,000,08425,00000,00000,0,A,Bridgewater city,Iowa,182,182,182,180,178,177,176,172
162,19,000,08470,00000,00000,0,A,Brighton city,Iowa,652,655,654,656,657,658,659,659
162,19,000,08560,00000,00000,0,A,Bristow city,Iowa,160,160,160,161,161,161,160,160
162,19,000,08605,00000,00000,0,A,Britt city,Iowa,2069,2069,2063,2059,2049,1994,1977,1973
162,19,000,08650,00000,00000,0,A,Bronson city,Iowa,322,322,323,324,323,323,323,323
162,19,000,08695,00000,00000,0,A,Brooklyn city,Iowa,1468,1478,1477,1474,1468,1450,1450,1420
162,19,000,08875,00000,00000,0,A,Brunsville city,Iowa,151,151,151,150,150,150,149,148
162,19,000,09100,00000,00000,0,A,Buckeye city,Iowa,108,108,108,108,108,108,108,108
162,19,000,09145,00000,00000,0,A,Buck Grove city,Iowa,43,43,43,43,43,44,43,43
162,19,000,09235,00000,00000,0,A,Buffalo city,Iowa,1270,1273,1276,1281,1288,1296,1298,1299
162,19,000,09280,00000,00000,0,A,Buffalo Center city,Iowa,905,905,903,900,894,886,893,895
162,19,000,09550,00000,00000,0,A,Burlington city,Iowa,25663,25625,25580,25492,25584,25645,25507,25410
162,19,000,09685,00000,00000,0,A,Burt city,Iowa,533,533,532,525,523,519,515,511
162,19,000,09730,00000,00000,0,A,Bussey city,Iowa,422,422,421,420,419,415,414,410
162,19,000,09820,00000,00000,0,A,Calamus city,Iowa,439,439,439,435,430,424,418,414
162,19,000,09955,00000,00000,0,A,Callender city,Iowa,376,376,375,373,369,367,365,365
162,19,000,10045,00000,00000,0,A,Calmar city,Iowa,978,978,978,974,973,965,963,960
162,19,000,10090,00000,00000,0,A,Calumet city,Iowa,170,170,170,170,170,168,170,169
162,19,000,10135,00000,00000,0,A,Camanche city,Iowa,4448,4448,4449,4453,4428,4393,4354,4341
162,19,000,10225,00000,00000,0,A,Cambridge city,Iowa,827,827,828,830,826,827,826,821
162,19,000,10450,00000,00000,0,A,Cantril city,Iowa,222,222,222,221,220,221,221,220
162,19,000,10585,00000,00000,0,A,Carbon city,Iowa,34,34,34,34,33,33,33,32
162,19,000,10765,00000,00000,0,A,Carlisle city,Iowa,3876,3891,3895,3920,3952,3980,4107,4168
162,19,000,11035,00000,00000,0,A,Carpenter city,Iowa,109,109,109,108,108,108,108,108
162,19,000,11080,00000,00000,0,A,Carroll city,Iowa,10103,10103,10111,10120,10034,9997,10002,9968
162,19,000,11170,00000,00000,0,A,Carson city,Iowa,812,812,813,810,806,806,812,816
162,19,000,11215,00000,00000,0,A,Carter Lake city,Iowa,3785,3785,3792,3788,3762,3757,3767,3791
162,19,000,11305,00000,00000,0,A,Cascade city,Iowa,2159,2166,2177,2200,2208,2214,2254,2271
162,19,000,11395,00000,00000,0,A,Casey city,Iowa,426,426,426,421,416,406,407,402
162,19,000,11485,00000,00000,0,A,Castalia city,Iowa,173,173,173,172,172,171,169,168
162,19,000,11530,00000,00000,0,A,Castana city,Iowa,147,142,142,142,140,139,137,137
162,19,000,11755,00000,00000,0,A,Cedar Falls city,Iowa,39260,39260,39332,39573,39825,40575,40951,41255
162,19,000,12000,00000,00000,0,A,Cedar Rapids city,Iowa,126326,126326,126597,127870,128129,128413,129304,130405
